cpd:C00001	cpd:H2O
cpd:C14885	cpd:9-Fluoro-11beta-hydroxy-16beta-methylandrosta-1,4-diene-3,17-dione
cpd:C14886	cpd:16beta-Fluoroandrost-4-ene-3,17-dione
cpd:C14887	cpd:11alpha,17beta-Dihydroxy-17alpha-methylandrosta-1,4-dien-3-one
cpd:C14888	cpd:(+)-Methallenestrilphenol
cpd:C14889	cpd:5alpha-Androstane-2beta-fluoro-17beta-ol-3-one acetate
cpd:C14890	cpd:17beta-Hydroxy-6beta-methylandrost-4-en-3-one
cpd:C14891	cpd:7alpha,17beta-Dihydroxy-17alpha-methylandrost-4-en-3-one
cpd:C14892	cpd:17-Allylestra-1,3,5(10)-triene-3,17beta-diol
cpd:C14893	cpd:2-(4-Chlorophenyl)-3-phenyl-3-(2-pyridinyl)acrylonitrile
cpd:C14894	cpd:3',6'-Dihydroxy-2',4,4'-trimethoxy-chalcone
cpd:C14895	cpd:1-(2-Hydroxy-3,4,5,6-tetramethoxyphenyl)-3-(2,3,4,6-tetramethoxyphenyl)-2-propen-1-one
cpd:C14896	cpd:1-Methyl-6-(1,2,3,4-tetrahydro-6-methoxy-2-naphthyl)-2(1H)-pyridone
cpd:C14897	cpd:p-(3,4-Dihydro-6-methoxy-2-naphthyl)phenol
cpd:C14898	cpd:4,4a,5,6,7,8-Hexahydro-6-(p-hydroxyphenyl)-2(3H)-naphthalenone
cpd:C14899	cpd:3-Dehydro-L-gulonate 6-phosphate
cpd:C14900	cpd:6-(1,2,3,4-Tetrahydro-6-methoxy-2-naphthyl)-2(1H)-pyridone
cpd:C14901	cpd:1-Methyl-6-(1,2,3,4-tetrahydro-6-hydroxy-2-naphthyl)-2(1H)-pyridone
cpd:C14902	cpd:6-(1,2,3,4-Tetrahydro-6-hydroxy-2-naphthyl)-2(1H)-pyridone
cpd:C14903	cpd:2,3-Bis(p-hydroxyphenyl)acrylonitrile
cpd:C14904	cpd:alpha-(p-Methoxyphenyl)-3-pyridineacrylonitrile
cpd:C14905	cpd:2-Chloro-beta-(4-chlorophenyl)phenethyl alcohol
cpd:C14906	cpd:(5alpha,17beta)-3-Methyl-androst-2-en-17-ol
cpd:C14907	cpd:7alpha,17beta-Dihydroxyandrosta-1,4-dien-3-one
cpd:C14908	cpd:3-Ethyl-1,3,4,6,7,11b-hexahydro-9,10-dimethoxy-2H-benzo[a]quinolizin-2-one
cpd:C14909	cpd:9alpha-Hydroxyandrosta-1,4-diene-3,17-dione
cpd:C14910	cpd:4,4-Difluoro-17beta-hydroxy-17alpha-methyl-androst-5-en-3-one
cpd:C14911	cpd:17beta-Hydroxy-2-oxa-5alpha-androstan-3-one
cpd:C14912	cpd:1,2,4,5-Tetrahydrotestolactone
cpd:C14913	cpd:17beta-Hydroxy-4-oxa-5alpha-androstan-3-one acetate
cpd:C14914	cpd:3beta-Chloro-N,N-bis(2-chloroethyl)-androst-5-en-17beta-amine
cpd:C14915	cpd:3-(2,4-Cyclopentadien-1-ylidene)-5alpha-androstan-17beta-ol
cpd:C14916	cpd:Nirvanol
cpd:C14917	cpd:9-Thiocyanato-androst-4-ene-3,11,17-trione
cpd:C14918	cpd:9-Bromo-16alpha-methyl-pregn-4-ene-3,11,20-trione
cpd:C14919	cpd:17beta-Hydroxy-2alpha-(methoxymethyl)-17-methyl-5alpha-androstan-3-one
cpd:C14920	cpd:N-(6-Oxo-6H-dibenzo[b,d]pyran-3-yl)acetamide
cpd:C14921	cpd:3-Oxo-N-phenyl-N-(phenylmethyl)butanamide
cpd:C14922	cpd:15beta-Hydroxy-7alpha-mercapto-pregn-4-ene-3,20-dione 7-acetate
cpd:C14923	cpd:12alpha-(Chloromethyl)-12-hydroxy-pregn-4-ene-3,20-dione
cpd:C14924	cpd:3beta,21-Dihydroxy-pregna-5,7,9(11)-trien-20-one diacetate
cpd:C14925	cpd:17beta-Hydroxy-2-methylandrost-1,4-dien-3-one
cpd:C14926	cpd:3-Hydroxy-2-(4-morpholinylmethyl)estra-1,3,5(10)-trien-17-one
cpd:C14927	cpd:N-(6-Oxo-6H-dibenzo[b,d]pyran-2-yl)methanesulfonamide
cpd:C14928	cpd:17-[[3-(1-Pyrrolidinyl)propyl]imino]androst-5-en-3beta-ol acetate
cpd:C14929	cpd:17beta-Hydroxy-16alpha-methoxy-androst-4-en-3-one
cpd:C14930	cpd:3-Methoxy-androsta-3,5-diene-7,17-dione
cpd:C14931	cpd:16-Butyl-3-methoxy-estra-1,3,5(10)-triene-16beta,17beta-diol
cpd:C14932	cpd:11beta-Hydroxy-5alpha-androstan-17-one
cpd:C14933	cpd:17-Propyl-5alpha-androst-2-en-17beta-ol
cpd:C14934	cpd:16-Propyl-3-methoxy-estra-1,3,5(10)-triene-16beta,17beta-diol
cpd:C14935	cpd:m-(beta-Acetyl-alpha-ethyl-p-hydroxyphenethyl)benzoic acid
cpd:C14936	cpd:2-(p-Methoxyphenyl)-3-(m-chlorophenyl)acrylonitrile
cpd:C14937	cpd:6beta-(Dimethylamino)-3beta,5-dihydroxy-5alpha-pregnan-20-one
cpd:C14938	cpd:N-[(4-Chlorophenyl)methyl]-N-ethyl-2-pyridinamine
cpd:C14939	cpd:11beta-17-Dihydroxy-6alpha-methylpregn-4-ene-3,20-dione
cpd:C14940	cpd:2,3-Dihydro-2-(4-hydroxyphenyl)-5,6,7,8-tetramethoxy-4H-1-benzopyran-4-one
cpd:C14941	cpd:Pyrethrin
cpd:C14942	cpd:2-(2,4,5-Trimethoxyphenyl)-5,6,7,8-tetramethoxy-4H-1-benzopyran-4-one
cpd:C14943	cpd:2-(2,5-Dimethoxyphenyl)-5,6,7,8-tetramethoxy-4H-1-benzopyran-4-one
cpd:C14944	cpd:2-(3,5-Dimethoxyphenyl)-5,6,7,8-tetramethoxy-4H-1-benzopyran-4-one
cpd:C14945	cpd:3-Methoxy-16-methyl-estra-2,5(10)-diene-16beta,17beta-diol
cpd:C14946	cpd:1-Dehydro-15alpha-hydroxytestololactone
cpd:C14947	cpd:17-Propylestra-1,3,5(10)-triene-3,17beta-diol diacetate
cpd:C14948	cpd:2-(4-Ethoxyphenyl)-5,6,7,8-tetramethoxy-4H-1-benzopyran-4-one
cpd:C14949	cpd:3-[(2,6-Dichlorobenzylidene)amino]-6H-dibenzo[b,d]pyran-6-one
cpd:C14950	cpd:3-[(2,4-Dichlorobenzylidene)amino]-6H-dibenzo[b,d]pyran-6-one
cpd:C14951	cpd:3-[(2-Chlorobenzylidene)amino]-6H-dibenzo[b,d]pyran-6-one
cpd:C14952	cpd:3-Amino-6H-dibenzo[b,d]pyran-6-one
cpd:C14953	cpd:2-(3,4,5-Trimethoxyphenyl)-5,6,7,8-tetramethoxy-4H-1-benzopyran-4-one
cpd:C14954	cpd:17-Methylandrosta-4,6-diene-3beta,17beta-diol 3-acetate
cpd:C14955	cpd:17beta-(Acetylthio)estra-1,3,5(10)-trien-3-ol acetate
cpd:C14956	cpd:3alpha-Hydroxy-2alpha-methyl-5alpha-androstan-17-one
cpd:C14957	cpd:3beta-(Acetyloxy)-5beta-methyl-6beta-chloroestr-9-en-17-one
cpd:C14958	cpd:17a-Aza-D-homoandrost-5-en-3beta-ol
cpd:C14959	cpd:Estra-1,3,5(10),16-tetraen-3-ol benzoate
cpd:C14960	cpd:1alpha,5alpha-Dimercaptoandrostane-3alpha,17beta-diol
cpd:C14961	cpd:3beta-Hydroxy-16beta-(hydroxymethyl)-5alpha-androstan-17-one
cpd:C14962	cpd:17-Hydroxy-5alpha,17alpha-pregn-1-en-3-one
cpd:C14963	cpd:2-[4-(Acetyloxy)phenyl]-5,6,7,8-tetramethoxy-4H-1-benzopyran-4-one
cpd:C14964	cpd:11alpha-Hydroxy-12alpha-methyl-pregn-4-ene-3,20-dione
cpd:C14965	cpd:N-(6-Oxo-6H-dibenzo[b,d]pyran-3-yl)methanesulfonamide
cpd:C14966	cpd:17beta-[Bis(2-hydroxyethyl)amino]androst-5-en-3beta-ol
cpd:C14967	cpd:1-[2-Bromo-1-(4-chlorophenyl)ethenyl]-2-chlorobenzene
cpd:C14968	cpd:3-(2,4-Cyclopentadien-1-ylidene)pregn-4-en-20-one
cpd:C14969	cpd:2,3-Dihydro-6-hydroxy-2-(4-hydroxyphenyl)-5,7-dimethoxy-4H-1-benzopyran-4-one
cpd:C14970	cpd:2alpha-(Hydroxymethyl)-5alpha-androstane-3beta,17beta-diol
cpd:C14971	cpd:N-(6-Oxo-6H-dibenzo[b,d]pyran-3-yl)-2,2,2-trifluoroacetamide
cpd:C14972	cpd:3-Deoxyestrone
cpd:C14973	cpd:17beta-Hydroxy-7alpha-mercaptoandrost-4-en-3-one 7-propionate
cpd:C14974	cpd:3-Methoxy-16-methylestra-1,3,5(10)-triene-16beta,17beta-diol 17-acetate
cpd:C14975	cpd:D-Homo-17a-oxa-5alpha-androstan-3beta-ol
cpd:C14976	cpd:3alpha,21-Dihydroxy-D-homo-5beta-pregn-17a(20)-en-11-one
cpd:C14977	cpd:2alpha-(Hydroxymethyl)-17-methyl-5alpha-androstane-3beta,17beta-diol
cpd:C14978	cpd:17beta-Hydroxy-2alpha-(methoxymethyl)-5alpha-androstan-3-one
cpd:C14979	cpd:3beta-Cyclopentyl-5alpha-androstan-17beta-ol
cpd:C14980	cpd:16beta-Methyl-D-homo-17a-oxa-5alpha-androstane-3,17-dione
cpd:C14981	cpd:3beta-Fluoro-5beta-pregnan-20-one
cpd:C14982	cpd:6beta,17-Dimethyl-5alpha-androstane-3beta,17beta-diol
cpd:C14983	cpd:6beta-Hydroxy-D-homo-17a-oxaandrost-4-ene-3,17-dione
cpd:C14984	cpd:17-Hydroxy-3-oxo-19-nor-5beta,17alpha-pregnane-21-carboxylic acid, gamma-lactone
cpd:C14985	cpd:6-Hydroxy-2-(4-methoxyphenyl)-5,7-dimethoxy-4H-1-benzopyran-4-one
cpd:C14986	cpd:2-(4-Hydroxyphenyl)-5,6,7-trimethoxy-4H-1-benzopyran-4-one
cpd:C14987	cpd:2,3-Dihydroxycyclopentaneundecanoic acid
cpd:C14988	cpd:4-Nitroestra-1,3,5(10)-triene-3,17beta-diol
cpd:C14990	cpd:Cyclic-3,20-bis(1,2-ethanediyl acetal)-11alpha-(acetyloxy)-5alpha,6alpha-epoxypregnane-3,20-dione
cpd:C14991	cpd:3beta,21-Dihydroxy-4,4,14-trimethyl-5alpha-pregn-8-en-20-one
cpd:C14992	cpd:3-(Acetyloxy)-9-mercaptoandrosta-3,5-diene-11,17-dione
cpd:C14993	cpd:Nonylphenol
cpd:C14994	cpd:3-Methoxy-16-octylestra-1,3,5(10)-triene-16beta,17beta-diol
cpd:C14995	cpd:3-Methoxy-16-ethylestra-1,3,5(10)-triene-16beta,17beta-diol
cpd:C14996	cpd:12-(2,3-Dihydroxycyclopentyl)-2-dodecanone
cpd:C14997	cpd:2,3-Dihydro-6-hydroxy-2-(4-methoxyphenyl)-5,7-dimethoxy-4H-1-benzopyran-4-one
cpd:C14998	cpd:17beta-(1H-Imidazol-4-yl)androst-5-en-3beta-ol
cpd:C14999	cpd:10-Hydroxyestra-1,4-dien-3-one acetate
cpd:C15000	cpd:17beta-(Benzoyloxy)-B-norandrost-4-en-3-one
cpd:C15001	cpd:3beta-(Acetyloxy)-5alpha-androst-16-ene-16-carboxaldehyde
cpd:C15002	cpd:11alpha,15alpha-Dihydroxypregn-4-ene-3,20-dione
cpd:C15003	cpd:17-Hydroxy-19-nor-17alpha-pregn-5(10)-en-3-one
cpd:C15004	cpd:16beta-Chloro-17beta-hydroxyandrost-4-en-3-one
cpd:C15005	cpd:4-Aminoestra-1,3,5(10)-triene-3,17beta-diol
cpd:C15006	cpd:2-Aminoestra-1,3,5(10)-triene-3,17beta-diol
cpd:C15007	cpd:2-Nitroestra-1,3,5(10)-triene-3,17beta-diol
cpd:C15008	cpd:1,2,3,4,4a,9,10,10a-Octahydro-6-hydroxy-7-isopropyl-1,4a-dimethyl-1-phenanthrenemethanol
cpd:C15009	cpd:17beta-Hydroxyandrost-4-ene-3,11-dione propionate
cpd:C15010	cpd:16beta-Chloroandrost-4-ene-3,17-dione
cpd:C15011	cpd:11beta,17beta-Dihydroxy-6alpha,17-dimethylandrost-4-en-3-one
cpd:C15012	cpd:17beta-Hydroxy-2,17-dimethyl-5alpha-androst-1-en-3-one
cpd:C15013	cpd:3beta-(1-Pyrrolidinyl)-5alpha-pregnane-11,20-dione
cpd:C15014	cpd:3-(2-Propenyloxy)estra-1,3,5(10)-triene-16,17-dione 16-oxime
cpd:C15015	cpd:2beta,21-Dihydroxypregn-4-ene-3,20-dione
cpd:C15016	cpd:19-Norpregna-4,17(20)-dien-3-one
cpd:C15017	cpd:17beta-Hydroxy-5alpha-androst-2-ene-2-carboxaldehyde
cpd:C15018	cpd:3-Hydroxy-2-nitroestra-1,3,5(10)-trien-17-one
cpd:C15019	cpd:2,3-Dihydro-2-(4-hydroxyphenyl)-5,6,7-trimethoxy-4H-1-benzopyran-4-one
cpd:C15020	cpd:17beta-Methylestra-1,3,5(10)-trien-3-ol
cpd:C15021	cpd:4,4'-(Diphenylethenylidene)bis[N,N-dimethylbenzenamine]
cpd:C15022	cpd:11alpha,17beta-Dihydroxy-2alpha,17-dimethylandrost-4-en-3-one
cpd:C15023	cpd:19-Chloro-3beta-hydroxyandrost-5-en-17-one acetate
cpd:C15024	cpd:19-Chloro-17beta-hydroxyandrost-4-en-3-one
cpd:C15025	cpd:(S)-Carnitine
cpd:C15026	cpd:L-365260
cpd:C15027	cpd:2,2-Dimethyl-3,4-bis(4-methoxyphenyl)-2H-1-benzopyran-7-ol acetate
cpd:C15028	cpd:alpha-Ethyl-alpha,beta-diphenyl-2-pyridineethanol
cpd:C15029	cpd:3,6-Dimethoxy-19-norpregna-1,3,5,7,9-pentaen-20-one
cpd:C15030	cpd:3,6-Dimethoxyestra-1,3,5(10),6,8-pentaene-17beta-carboxylic acid methyl ester
cpd:C15031	cpd:2-(4-Hydroxyphenyl)-5,6,7,8-tetrahydroxy-4H-1-benzopyran-4-one
cpd:C15032	cpd:1-(4-Methoxyphenyl)-3-(4-morpholinyl)-1-propanone
cpd:C15033	cpd:Hydroxystenozole
cpd:C15034	cpd:16alpha-Hydroxycorticosterone
cpd:C15035	cpd:17beta-Hydroxy-2alpha-(hydroxymethyl)-5alpha-androstan-3-one
cpd:C15036	cpd:2alpha-Methyl-5alpha-androstane-3,17-dione
cpd:C15037	cpd:Oplophorus luciferin
cpd:C15038	cpd:Oxidized Oplophorus luciferin
cpd:C15039	cpd:3-(m-Aminophenyl)-2-(p-methoxyphenyl)acrylonitrile
cpd:C15040	cpd:GYKI 52466
cpd:C15041	cpd:17-Methylandrost-5-ene-3beta,11beta,17beta-triol
cpd:C15042	cpd:4-(2-Pyrazinylethenyl)phenol
cpd:C15043	cpd:2-[2-(4-Pyridinyl)-1-butenyl]phenol
cpd:C15044	cpd:2,3-Dimethoxy-[2-(4-Pyridinyl)-1-butenyl]phenol
cpd:C15045	cpd:4-Chloro-[2-(4-Pyridinyl)-1-butenyl]phenol
cpd:C15046	cpd:Pregna-5,16,20-triene-3beta,20-diol diacetate
cpd:C15047	cpd:11,17-Dimethyl-5alpha-androstane-11beta,17beta-diol
cpd:C15048	cpd:7-(Acetyloxy)-3-(3-pyridinyl)-2H-1-benzopyran-2-one
cpd:C15049	cpd:(2-Butylbenzofuran-3-yl)(4-hydroxyphenyl)ketone
cpd:C15050	cpd:2,2-Dimethyl-3-[4-(acetyloxy)phenyl]-4-ethyl-2H-1-benzopyran-7-ol acetate
cpd:C15051	cpd:7-Hydroxy-3-(4-methoxyphenyl)-4-propyl-2H-1-benzopyran-2-one
cpd:C15052	cpd:7-Hydroxy-3-(4-methoxyphenyl)-4-methylcoumarin
cpd:C15053	cpd:2,2-Dimethyl-3-(4-methoxyphenyl)-4-propyl-2H-1-benzopyran-7-ol acetate
cpd:C15054	cpd:2,2-Dimethyl-3-(4-methoxyphenyl)-4-ethyl-2H-1-benzopyran-7-ol
cpd:C15055	cpd:2,2-Dimethyl-3-(4-methoxyphenyl)-4-ethyl-2H-1-benzopyran-7-ol acetate
cpd:C15056	cpd:2,2,4-Trimethyl-3-(4-fluorophenyl)-2H-1-benzopyran-7-ol acetate
cpd:C15057	cpd:3-Ethoxyandrosta-3,5-dien-17beta-ol propanoate
cpd:C15058	cpd:2alpha-Methyl-5alpha-androstane-3beta,17beta-diol
cpd:C15059	cpd:2,2,4-Trimethyl-3-(4-methoxyphenyl)-2H-1-benzopyran-7-ol acetate
cpd:C15060	cpd:7-Methoxy-2,2,4-trimethyl-3-(4-methoxyphenyl)-2H-1-benzopyran
cpd:C15061	cpd:2,2-Dibutyl-3-(4-methoxyphenyl)-4-methyl-2H-1-benzopyran-7-ol acetate
cpd:C15062	cpd:17beta-Hydroxy-3-methoxyestra-1,3,5(10)-triene-17-carbonitrile
cpd:C15063	cpd:3-Methoxy-D-homoestra-1,3,5(10),8,14-pentaen-17abeta-ol
cpd:C15064	cpd:17beta-(Hydroxymethyl)androst-4-en-3-one acetate
cpd:C15065	cpd:9-Fluoro-11beta-hydroxy-A-norpregn-3(5)-ene-2,20-dione
cpd:C15066	cpd:alpha,alpha'-Diethyl-4,4'-bis(2-propynyloxy)stilbene
cpd:C15067	cpd:4-Chloro-alpha-[4-[2-(diethylamino)ethoxy]phenyl]-alpha-phenylbenzeneethanol
cpd:C15068	cpd:17beta-Hydroxy-4-oxa-5alpha-androst-1-en-3-one acetate
cpd:C15069	cpd:4,4'-(Butane-1,1-diyl)diphenol
cpd:C15070	cpd:17beta-Hydroxy-1,17-dimethylestr-5(10)-en-3-one
cpd:C15071	cpd:6beta-Fluoro-5alpha-hydroxypregnane-3,20-dione
cpd:C15072	cpd:6beta,19-Epoxy-17beta-hydroxyandrost-4-en-3-one
cpd:C15073	cpd:17alpha-Chloroethynylestradiol
cpd:C15074	cpd:16alpha-Fluoro-17alpha-hydroxyandrost-4-en-3-one
cpd:C15075	cpd:3-Fluoro-1-(4-hydroxyphenyl)-1-propanone
cpd:C15076	cpd:3-(4-Methoxyphenyl)-5,6,7-trimethoxy-4H-1-benzopyran-4-one
cpd:C15077	cpd:1-Phenyl-3-(phenylsulfonyl)-2-propen-1-one
cpd:C15078	cpd:3-Methoxyestra-1,3,5(10)-triene-16,17-dione 16-oxime
cpd:C15079	cpd:9-Fluoro-11beta-hydroxypregna-4,16-diene-3,20-dione
cpd:C15080	cpd:4-Benzyloxy-2'-hydroxy-3',4',5',6'-tetramethoxychalcone
cpd:C15081	cpd:trans-1,3,4,6,7,11b-Hexahydro-9-methoxy-2H-benzo[a]quinolizine-3-carboxylic acid ethyl ester
cpd:C15082	cpd:4-(1-Ethyl-2-phenylbutyl)phenol
cpd:C15083	cpd:1-Chloro-2-[1-(4-chlorophenyl)ethenyl]benzene
cpd:C15084	cpd:2,3-Diphenyl-3-(2-pyridinyl)acrylonitrile
cpd:C15085	cpd:17-Methyl-18-norandrosta-4,13(17)-dien-3-one
cpd:C15086	cpd:3-Allyloxyestra-1,3,5(10),7-tetraene-16,17-dione dioxime
cpd:C15087	cpd:3-Hydroxyestra-1,3,5(10),7-tetraene-16,17-dione 16-oxime
cpd:C15088	cpd:4-Fluoro-17beta-hydroxyandrost-4-en-3-one propionate
cpd:C15089	cpd:1,6-Dihydro-1-(3-methoxyphenethyl)-6-oxonicotinic acid
cpd:C15090	cpd:17-Hydroxy-3-oxo-17alpha-pregna-1,4-diene-21-carboxylic acid, gamma-lactone
cpd:C15091	cpd:9-Fluoro-17beta-hydroxy-6alpha,17-dimethylandrost-4-ene-3,11-dione
cpd:C15092	cpd:9-Fluoro-11beta,17beta-dihydroxy-16alpha-methylandrosta-1,4-dien-3-one
cpd:C15093	cpd:3beta-Fluoroandrost-5-en-17beta-ol
cpd:C15094	cpd:GYKI 52895
cpd:C15095	cpd:Coumestrol diacetate
cpd:C15096	cpd:GV 150013X
cpd:C15097	cpd:Androst-5-ene-3beta,17beta,19-triol
cpd:C15098	cpd:21-Fluoro-11beta-hydroxypregn-4-ene-3,20-dione
cpd:C15099	cpd:17beta-Hydroxy-2alpha,17-dimethyl-5alpha-androstan-3-one
cpd:C15100	cpd:6-Hydroxy-2-(4-hydroxyphenyl)-5,7-dimethoxy-4H-1-benzopyran-4-one
cpd:C15101	cpd:17-Methyl-5-alpha-androst-2-en-17-beta-ol
cpd:C15102	cpd:1,2,3,4-Tetrahydro-4-oxo-1-naphthoic acid
cpd:C15103	cpd:11alpha,17beta-Dihydroxy-1,4-androstadien-3-one
cpd:C15104	cpd:LY-202769
cpd:C15105	cpd:9-Fluoro-16alpha-hydroxyandrost-4-ene-3,11,17-trione
cpd:C15106	cpd:3-Oxopregn-4-ene-20beta-carboxaldehyde dioxime
cpd:C15107	cpd:3-Methoxyestra-1,3,5(10),16-tetraene
cpd:C15108	cpd:17beta-Hydroxy-6alpha,17-dimethylandrost-4-en-3-one
cpd:C15109	cpd:Gardenin B
cpd:C15110	cpd:1-[6-Hydroxy-2-(4-hydroxyphenyl)-1-benzofuran-3-yl]ethanone
cpd:C15111	cpd:1-[2-(4-Hydroxyphenyl)-1-benzofuran-3-yl]ethanone
cpd:C15112	cpd:4,4-Difluoro-17beta-hydroxyandrost-5-en-3-one propionate
cpd:C15113	cpd:9-Fluoro-11beta,17beta-dihydroxy-2,17-dimethylandrost-4-en-3-one
cpd:C15114	cpd:3-Methoxy-5,10-seco-5,19-cycloandrosta-1(10),2,4-trien-17-one
cpd:C15115	cpd:11beta-Hydroxy-6alpha,11-dimethylpregn-4-ene-3,20-dione
cpd:C15116	cpd:2alpha-Methylpregn-4-ene-3,20-dione
cpd:C15117	cpd:3-Methyl-19-nor-17alpha-pregna-1,3,5(10)-trien-17-ol
cpd:C15118	cpd:2,3-Dihydro-2-(4-methoxyphenyl)-5,6,7-trimethoxy-4H-1-benzopyran-4-one
cpd:C15119	cpd:B-Norcholest-4-en-3-one
cpd:C15120	cpd:alpha-(p-Methoxyphenyl)-4-pyridineacrylic acid
cpd:C15121	cpd:alpha-(p-Methoxyphenyl)-2-pyridineacrylonitrile
cpd:C15122	cpd:alpha-(p-Methoxyphenyl)-6-methyl-2-pyridineacrylic acid
cpd:C15123	cpd:1,1-Dichloro-2,2-diphenylethane
cpd:C15124	cpd:3-Methoxy-D-homoestra-1,3,5(10),8-tetraen-17a-one
cpd:C15125	cpd:N-(Cyclohexylmethyl)-N-methylbenzenamine
cpd:C15126	cpd:2,17beta-Dihydroxy-17-methylandrosta-1,4-dien-3-one
cpd:C15127	cpd:6alpha-Fluoropregn-4-ene-3,20-dione
cpd:C15128	cpd:1'H-5alpha-Androst-2-eno[3,2-b]indol-17beta-ol
cpd:C15129	cpd:Estra-1,3,5(10)-triene-2,17beta-diol
cpd:C15130	cpd:6beta,19-Epoxypregn-4-ene-3,20-dione
cpd:C15131	cpd:2,5-Dimethoxystilbene
cpd:C15132	cpd:11alpha,12alpha-Epoxy-5beta-pregnane-3,20-dione
cpd:C15133	cpd:4-Methyl-4-aza-5-pregnene-3,20-dione
cpd:C15134	cpd:3-(1,2,3,4-Tetrahydro-6-hydroxy-2-naphthyl)cyclopentanone
cpd:C15135	cpd:3beta-Hydroxy-17-oxoandrost-5-en-19-al acetate
cpd:C15136	cpd:3beta-Hydroxy-D-homo-17a-oxa-5alpha-androstan-17-one
cpd:C15137	cpd:17beta-Hydroxy-2alpha-(hydroxymethyl)-17-methyl-5alpha-androstan-3-one
cpd:C15138	cpd:17beta-Methoxyandrost-5-ene-3beta,16beta-diol
cpd:C15139	cpd:D-Homo-17a-oxa-5alpha-androstan-3beta-ol acetate
cpd:C15140	cpd:3,3-Difluoro-17-methyl-5alpha-androstan-17beta-ol
cpd:C15141	cpd:N-(Phenylmethyl)-N-methyl-2-pyridinamine
cpd:C15142	cpd:3-Methoxy-D-homoestra-1,3,5(10),8-tetraen-17abeta-ol
cpd:C15143	cpd:(2-Butylbenzofuran-3-yl)(4-hydroxy-3,5-diiodophenyl)ketone
cpd:C15144	cpd:16beta,17beta-Dihydroxy-16-methylestr-4-en-3-one
cpd:C15145	cpd:4,4-Bis[4-(acetyloxy)phenyl]3-hexanone
cpd:C15146	cpd:Pregna-4,16-diene-3,11,20-trione
cpd:C15147	cpd:9-Fluoro-11beta-hydroxy-16alpha-methylandrosta-1,4-diene-3,17-dione
cpd:C15148	cpd:9-Fluoro-16alpha-methylpregn-4-ene-3,11,20-trione
cpd:C15149	cpd:17beta-Acetamidoandrost-4-en-3-one
cpd:C15150	cpd:14-Hydroxyandrosta-1,4-diene-3,17-dione
cpd:C15151	cpd:17beta-Hydroxy-4-oxa-5alpha-estr-1-en-3-one acetate
cpd:C15152	cpd:4,4-Difluoropregn-5-ene-3,20-dione
cpd:C15153	cpd:(-)-Methallenestrilphenol
cpd:C15154	cpd:4beta,5beta-Epoxypregnane-3,20-dione
cpd:C15155	cpd:9-Bromo-11beta-hydroxy-16alpha-methylpregn-4-ene-3,20-dione
cpd:C15156	cpd:3-Acetyl-5alpha-androst-2-en-17beta-ol
cpd:C15157	cpd:3-Acetyl-5alpha-androstane-3beta,17beta-diol 3-acetate
cpd:C15158	cpd:3alpha-Ethynyl-3-hydroxy-5alpha-androstan-17-one
cpd:C15159	cpd:3beta,13-Dihydroxy-16-(hydroxymethylene)-13,17-seco-5alpha-androstan-17-oic acid, delta-lactone
cpd:C15160	cpd:2,2-Dimethyl-3-(4-methoxyphenyl)-4-ethyl-6-(1-pyrrolidinylmethyl)-2H-1-benzopyran-7-ol
cpd:C15161	cpd:2,2-Dimethyl-3-(4-methoxyphenyl)-4-ethyl-7-hydroxy-2H-1-benzopyran-8-methanol diacetate
cpd:C15162	cpd:2,2-Dimethyl-3-(4-methoxyphenyl)-4-ethyl-8-(1-pyrrolidinylmethyl)-2H-1-benzopyran-7-ol
cpd:C15163	cpd:17-[(Benzylamino)methyl]estra-1,3,5(10)-triene-3,17beta-diol
cpd:C15164	cpd:12alpha-Fluoro-11beta,17beta-dihydroxyandrost-4-en-3-one
cpd:C15165	cpd:12alpha-Fluoro-11beta,17beta-dihydroxyandrosta-1,4-dien-3-one
cpd:C15166	cpd:5alpha-Androstane-2alpha-fluoro-17beta-ol-3-one acetate
cpd:C15167	cpd:3-Methoxy-19-norpregna-1,3,5(10)-trien-20-one
cpd:C15168	cpd:4,4'-(2-Ethyl-1-butenylidene)diphenol
cpd:C15169	cpd:16alpha-Fluoroandrost-4-ene-3,17-dione
cpd:C15170	cpd:17-Methyl-18,19-dinor-17alpha-pregna-4,13-dien-3-one
cpd:C15171	cpd:17beta-Hydroxyestr-4-en-3-one benzoate
cpd:C15172	cpd:6alpha-Fluoro-11beta,17-dihydroxypregn-4-ene-3,20-dione
cpd:C15173	cpd:3beta-Hydroxy-16-phosphonopregn-5-en-20-one monoethyl ester
cpd:C15174	cpd:Estra-1,3,5-(10)-trien-17-one-3-oxyacetic acid
cpd:C15175	cpd:17beta-Hydroxy-4,17-dimethyl-4-azaandrost-5-en-3-one
cpd:C15176	cpd:17-Methyl-5alpha-androst-2-ene-1alpha,17beta-diol
cpd:C15177	cpd:17-Methylandrosta-2,4-dieno[2,3-d]isoxazol-17beta-ol
cpd:C15178	cpd:5-Nitro-2-furancarboxaldehyde (2-hydroxyethyl)hydrazone
cpd:C15179	cpd:1,1-Diphenyl-2-(4-methoxyphenyl)propene
cpd:C15180	cpd:17beta-Hydroxy-4-mercaptoandrost-4-en-3-one 4-acetate 17-propionate
cpd:C15181	cpd:Wortmannin
cpd:C15182	cpd:Temsirolimus
cpd:C15183	cpd:AP 23573
cpd:C15184	cpd:17beta-Hydroxy-6alpha-methylandrost-4-en-3-one
